#R[kpc]	Baryon[km/s]	CDM[km/s]	QUMOND[km/s]	MOG[km/s]
9.840000	171.892432	230.806139	224.284991	208.264124
9.900000	171.547391	230.689357	224.188969	208.190644
9.960000	171.202122	230.571592	224.091628	208.116872
10.020000	170.856679	230.452893	223.993022	208.042855
10.080000	170.511115	230.333312	223.893207	207.968634
10.140000	170.165481	230.212894	223.792236	207.894251
10.200000	169.819827	230.091690	223.690160	207.819744
10.260000	169.474201	229.969743	223.587032	207.745154
10.320000	169.128652	229.847099	223.482898	207.670517
10.380000	168.783225	229.723800	223.377810	207.595868
10.440000	168.437965	229.599888	223.271813	207.521243
10.500000	168.092914	229.475403	223.164954	207.446676
10.560000	167.748115	229.350385	223.057276	207.372198
10.620000	167.403608	229.224873	222.948825	207.297840
10.680000	167.059434	229.098902	222.839643	207.223633
10.740000	166.715629	228.972510	222.729770	207.149605
10.800000	166.372232	228.845730	222.619248	207.075784
10.860000	166.029279	228.718597	222.508116	207.002198
10.920000	165.686803	228.591142	222.396412	206.928870
10.980000	165.344839	228.463399	222.284173	206.855827
11.040000	165.003420	228.335396	222.171436	206.783092
11.100000	164.662576	228.207164	222.058237	206.710687
11.160000	164.322339	228.078732	221.944610	206.638634
11.220000	163.982738	227.950127	221.830587	206.566954
11.280000	163.643802	227.821376	221.716203	206.495668
11.340000	163.305557	227.692504	221.601488	206.424793
11.400000	162.968031	227.563538	221.486474	206.354349
11.460000	162.631249	227.434500	221.371191	206.284353
11.520000	162.295236	227.305415	221.255667	206.214821
11.580000	161.960016	227.176305	221.139932	206.145769
11.640000	161.625612	227.047192	221.024012	206.077212
11.700000	161.292045	226.918096	220.907935	206.009165
11.760000	160.959338	226.789038	220.791726	205.941641
11.820000	160.627510	226.660038	220.675411	205.874653
11.880000	160.296582	226.531115	220.559014	205.808212
11.940000	159.966572	226.402286	220.442560	205.742332
12.000000	159.637498	226.273569	220.326071	205.677022
12.060000	159.309378	226.144980	220.209570	205.612292
12.120000	158.982229	226.016537	220.093078	205.548153
12.180000	158.656066	225.888254	219.976617	205.484614
12.240000	158.330906	225.760147	219.860207	205.421683
12.300000	158.006762	225.632230	219.743867	205.359367
12.360000	157.683648	225.504516	219.627618	205.297675
12.420000	157.361579	225.377020	219.511478	205.236613
12.480000	157.040566	225.249753	219.395464	205.176187
12.540000	156.720623	225.122729	219.279594	205.116403
12.600000	156.401760	224.995958	219.163886	205.057268
12.660000	156.083988	224.869451	219.048355	204.998784
12.720000	155.767319	224.743221	218.933018	204.940958
12.780000	155.451761	224.617276	218.817890	204.883793
12.840000	155.137325	224.491627	218.702985	204.827293
12.900000	154.824019	224.366282	218.588318	204.771460
12.960000	154.511852	224.241252	218.473902	204.716298
13.020000	154.200831	224.116545	218.359752	204.661810
13.080000	153.890964	223.992167	218.245879	204.607996
13.140000	153.582258	223.868129	218.132298	204.554860
13.200000	153.274719	223.744436	218.019018	204.502401
13.260000	152.968354	223.621096	217.906052	204.450622
